start,end,duration_min,stage
2016-09-14 00:27:24+02:00,2016-09-14 12:22:52+02:00,715.4666666666667,InBed
2016-09-17 00:55:20+02:00,2016-09-17 07:12:32+02:00,377.2,InBed
2016-09-18 00:27:52+02:00,2016-09-18 07:10:04+02:00,402.2,InBed
2016-10-01 00:40:00+02:00,2016-10-01 12:29:24+02:00,709.4,InBed
2020-06-07 23:46:00+02:00,2020-06-08 11:05:00+02:00,679.0,InBed
2020-06-09 23:59:00+02:00,2020-06-10 09:35:00+02:00,576.0,AsleepUnspecified
2020-06-11 01:54:00+02:00,2020-06-11 08:45:00+02:00,411.0,AsleepUnspecified
2020-06-12 01:55:00+02:00,2020-06-12 11:00:04+02:00,545.0666666666667,InBed
2020-06-13 00:30:00+02:00,2020-06-13 08:30:15+02:00,480.25,InBed
2020-06-14 00:30:00+02:00,2020-06-14 11:30:05+02:00,660.0833333333334,InBed
2020-06-15 01:30:00+02:00,2020-06-15 11:30:06+02:00,600.1,InBed
2020-06-16 01:35:00+02:00,2020-06-16 11:30:04+02:00,595.0666666666667,InBed
2020-06-17 01:35:00+02:00,2020-06-17 08:45:12+02:00,430.2,InBed
2020-06-18 01:35:00+02:00,2020-06-18 08:45:11+02:00,430.18333333333334,InBed
2020-06-18 08:46:14+02:00,2020-06-18 11:26:22+02:00,160.13333333333333,InBed
2020-06-19 05:07:30+02:00,2020-06-19 11:29:53+02:00,382.3833333333333,InBed
2020-06-19 05:07:30+02:00,2020-06-19 11:29:53+02:00,382.3833333333333,InBed
2020-06-20 00:30:00+02:00,2020-06-20 10:30:17+02:00,600.2833333333333,InBed
2020-06-21 00:30:00+02:00,2020-06-21 10:00:08+02:00,570.1333333333333,InBed
2020-06-22 01:29:00+02:00,2020-06-22 10:38:28+02:00,549.4666666666667,InBed
2020-06-22 01:29:00+02:00,2020-06-22 10:38:28+02:00,549.4666666666667,InBed
2020-06-23 00:50:00+02:00,2020-06-23 11:36:58+02:00,646.9666666666667,InBed
2020-06-23 00:50:00+02:00,2020-06-23 11:30:08+02:00,640.1333333333333,InBed
2020-06-24 01:15:00+02:00,2020-06-24 11:30:06+02:00,615.1,InBed
2020-06-24 01:15:00+02:00,2020-06-24 12:36:15+02:00,681.25,InBed
2020-06-25 02:52:02+02:00,2020-06-25 11:30:08+02:00,518.1,InBed
2020-06-26 03:50:38+02:00,2020-06-26 11:30:10+02:00,459.53333333333336,InBed
2020-06-29 05:39:25+02:00,2020-06-29 12:50:07+02:00,430.7,InBed
2020-06-30 02:44:44+02:00,2020-06-30 12:50:06+02:00,605.3666666666667,InBed
2020-07-01 04:34:55+02:00,2020-07-01 12:33:25+02:00,478.5,InBed
2020-07-01 04:34:55+02:00,2020-07-01 12:33:25+02:00,478.5,InBed
2020-07-01 12:48:15+02:00,2020-07-01 12:49:04+02:00,0.8166666666666667,InBed
2020-07-01 12:48:15+02:00,2020-07-01 12:49:04+02:00,0.8166666666666667,InBed
2020-07-01 12:56:30+02:00,2020-07-01 12:57:24+02:00,0.9,InBed
2020-07-01 12:56:30+02:00,2020-07-01 12:57:24+02:00,0.9,InBed
2020-07-01 12:58:09+02:00,2020-07-01 12:59:11+02:00,1.0333333333333334,InBed
2020-07-01 12:58:09+02:00,2020-07-01 12:59:11+02:00,1.0333333333333334,InBed
2020-07-02 04:05:43+02:00,2020-07-02 11:04:20+02:00,418.6166666666667,InBed
2020-07-03 00:45:00+02:00,2020-07-03 08:39:30+02:00,474.5,InBed
2020-07-04 00:45:00+02:00,2020-07-04 08:30:32+02:00,465.53333333333336,InBed
2020-07-06 01:30:00+02:00,2020-07-06 11:30:09+02:00,600.15,InBed
2020-07-07 03:47:17+02:00,2020-07-07 11:30:06+02:00,462.81666666666666,InBed
2020-07-08 02:19:41+02:00,2020-07-08 11:04:42+02:00,525.0166666666667,InBed
2020-07-08 02:19:41+02:00,2020-07-08 11:04:42+02:00,525.0166666666667,InBed
2020-07-08 11:05:11+02:00,2020-07-08 11:05:32+02:00,0.35,InBed
2020-07-08 11:05:11+02:00,2020-07-08 11:05:32+02:00,0.35,InBed
2020-07-08 11:06:15+02:00,2020-07-08 11:08:29+02:00,2.2333333333333334,InBed
2020-07-08 11:06:15+02:00,2020-07-08 11:08:29+02:00,2.2333333333333334,InBed
2020-07-08 11:14:41+02:00,2020-07-08 11:15:30+02:00,0.8166666666666667,InBed
2020-07-08 11:14:41+02:00,2020-07-08 11:15:30+02:00,0.8166666666666667,InBed
2020-07-09 03:06:47+02:00,2020-07-09 10:59:11+02:00,472.4,InBed
2020-07-09 03:06:47+02:00,2020-07-09 10:59:11+02:00,472.4,InBed
2020-07-10 01:42:21+02:00,2020-07-10 11:40:06+02:00,597.75,InBed
2020-07-11 01:30:00+02:00,2020-07-11 08:45:17+02:00,435.28333333333336,InBed
2020-07-12 01:52:03+02:00,2020-07-12 08:20:33+02:00,388.5,InBed
2020-07-13 04:21:08+02:00,2020-07-13 08:20:06+02:00,238.96666666666667,InBed
2020-07-14 02:06:17+02:00,2020-07-14 11:45:09+02:00,578.8666666666667,InBed
2020-07-15 06:00:00+02:00,2020-07-15 11:45:08+02:00,345.1333333333333,InBed
2020-07-16 02:45:00+02:00,2020-07-16 11:00:09+02:00,495.15,InBed
2020-07-18 01:15:00+02:00,2020-07-18 11:30:27+02:00,615.45,InBed
2020-07-19 02:26:18+02:00,2020-07-19 11:30:12+02:00,543.9,InBed
2020-07-20 03:26:02+02:00,2020-07-20 11:00:12+02:00,454.1666666666667,InBed
2020-07-21 02:45:00+02:00,2020-07-21 11:00:09+02:00,495.15,InBed
2020-07-23 04:20:09+02:00,2020-07-23 11:00:06+02:00,399.95,InBed
2020-07-27 03:55:00+02:00,2020-07-27 04:10:00+02:00,15.0,AsleepUnspecified
2020-07-27 03:55:00+02:00,2020-07-27 10:50:00+02:00,415.0,InBed
2020-07-27 04:10:00+02:00,2020-07-27 06:55:00+02:00,165.0,AsleepUnspecified
2020-07-27 05:40:00+02:00,2020-07-27 11:03:37+02:00,323.6166666666667,InBed
2020-07-27 05:40:00+02:00,2020-07-27 11:00:09+02:00,320.15,InBed
2020-07-27 06:55:00+02:00,2020-07-27 07:20:00+02:00,25.0,AsleepUnspecified
2020-07-27 07:20:00+02:00,2020-07-27 10:40:00+02:00,200.0,AsleepUnspecified
2020-07-27 10:40:00+02:00,2020-07-27 10:50:00+02:00,10.0,AsleepUnspecified
2020-07-27 23:00:00+02:00,2020-07-28 11:40:00+02:00,760.0,InBed
2020-07-27 23:00:00+02:00,2020-07-28 00:30:00+02:00,90.0,AsleepUnspecified
2020-07-28 00:30:00+02:00,2020-07-28 01:50:00+02:00,80.0,Awake
2020-07-28 02:10:00+02:00,2020-07-28 02:35:00+02:00,25.0,Awake
2020-07-28 02:35:00+02:00,2020-07-28 03:10:00+02:00,35.0,AsleepUnspecified
2020-07-28 03:10:00+02:00,2020-07-28 04:00:00+02:00,50.0,AsleepUnspecified
2020-07-28 04:00:00+02:00,2020-07-28 04:10:00+02:00,10.0,AsleepUnspecified
2020-07-28 04:10:00+02:00,2020-07-28 04:15:00+02:00,5.0,AsleepUnspecified
2020-07-28 04:15:00+02:00,2020-07-28 04:25:00+02:00,10.0,AsleepUnspecified
2020-07-28 04:25:00+02:00,2020-07-28 04:55:00+02:00,30.0,AsleepUnspecified
2020-07-28 04:55:00+02:00,2020-07-28 05:05:00+02:00,10.0,AsleepUnspecified
2020-07-28 05:05:00+02:00,2020-07-28 08:40:00+02:00,215.0,AsleepUnspecified
2020-07-28 08:40:00+02:00,2020-07-28 09:05:00+02:00,25.0,AsleepUnspecified
2020-07-28 09:05:00+02:00,2020-07-28 09:50:00+02:00,45.0,AsleepUnspecified
2020-07-28 09:50:00+02:00,2020-07-28 10:00:00+02:00,10.0,AsleepUnspecified
2020-07-28 10:00:00+02:00,2020-07-28 11:00:00+02:00,60.0,AsleepUnspecified
2020-07-28 11:00:00+02:00,2020-07-28 11:40:00+02:00,40.0,AsleepUnspecified
2020-07-29 07:10:00+02:00,2020-07-29 12:45:00+02:00,335.0,InBed
2020-07-29 07:10:00+02:00,2020-07-29 07:25:00+02:00,15.0,AsleepUnspecified
2020-07-29 07:25:00+02:00,2020-07-29 09:10:00+02:00,105.0,AsleepUnspecified
2020-07-29 07:40:00+02:00,2020-07-29 12:45:07+02:00,305.1166666666667,InBed
2020-07-29 09:10:00+02:00,2020-07-29 09:20:00+02:00,10.0,AsleepUnspecified
2020-07-29 09:20:00+02:00,2020-07-29 12:35:00+02:00,195.0,AsleepUnspecified
2020-07-29 12:35:00+02:00,2020-07-29 12:45:00+02:00,10.0,AsleepUnspecified
2020-07-30 03:20:00+02:00,2020-07-30 03:50:00+02:00,30.0,AsleepUnspecified
2020-07-30 03:20:00+02:00,2020-07-30 10:50:00+02:00,450.0,InBed
2020-07-30 03:50:00+02:00,2020-07-30 08:10:00+02:00,260.0,AsleepUnspecified
2020-07-30 07:40:00+02:00,2020-07-30 11:00:03+02:00,200.05,InBed
2020-07-30 08:10:00+02:00,2020-07-30 08:30:00+02:00,20.0,AsleepUnspecified
2020-07-30 08:30:00+02:00,2020-07-30 09:25:00+02:00,55.0,AsleepUnspecified
2020-07-30 09:25:00+02:00,2020-07-30 09:30:00+02:00,5.0,AsleepUnspecified
2020-07-30 09:30:00+02:00,2020-07-30 09:40:00+02:00,10.0,AsleepUnspecified
2020-07-30 09:40:00+02:00,2020-07-30 09:50:00+02:00,10.0,AsleepUnspecified
2020-07-30 09:50:00+02:00,2020-07-30 10:45:00+02:00,55.0,AsleepUnspecified
2020-07-30 10:45:00+02:00,2020-07-30 10:50:00+02:00,5.0,AsleepUnspecified
2020-07-31 03:30:00+02:00,2020-07-31 11:55:00+02:00,505.0,InBed
2020-07-31 03:30:00+02:00,2020-07-31 04:20:00+02:00,50.0,AsleepUnspecified
2020-07-31 04:06:38+02:00,2020-07-31 12:00:09+02:00,473.51666666666665,InBed
2020-07-31 04:20:00+02:00,2020-07-31 05:15:00+02:00,55.0,AsleepUnspecified
2020-07-31 05:15:00+02:00,2020-07-31 05:40:00+02:00,25.0,AsleepUnspecified
2020-07-31 05:40:00+02:00,2020-07-31 05:50:00+02:00,10.0,AsleepUnspecified
2020-07-31 05:50:00+02:00,2020-07-31 06:15:00+02:00,25.0,AsleepUnspecified
2020-07-31 06:15:00+02:00,2020-07-31 09:15:00+02:00,180.0,AsleepUnspecified
2020-07-31 09:15:00+02:00,2020-07-31 09:30:00+02:00,15.0,AsleepUnspecified
2020-07-31 09:30:00+02:00,2020-07-31 10:05:00+02:00,35.0,AsleepUnspecified
2020-07-31 10:05:00+02:00,2020-07-31 10:30:00+02:00,25.0,AsleepUnspecified
2020-07-31 10:30:00+02:00,2020-07-31 11:20:00+02:00,50.0,AsleepUnspecified
2020-07-31 11:20:00+02:00,2020-07-31 11:45:00+02:00,25.0,AsleepUnspecified
2020-07-31 11:45:00+02:00,2020-07-31 11:50:00+02:00,5.0,AsleepUnspecified
2020-07-31 11:50:00+02:00,2020-07-31 11:55:00+02:00,5.0,AsleepUnspecified
2020-08-01 03:50:00+02:00,2020-08-01 08:15:46+02:00,265.76666666666665,InBed
2020-08-01 15:35:00+02:00,2020-08-01 18:50:00+02:00,195.0,InBed
2020-08-01 15:35:00+02:00,2020-08-01 15:45:00+02:00,10.0,AsleepUnspecified
2020-08-01 15:45:00+02:00,2020-08-01 16:45:00+02:00,60.0,AsleepUnspecified
