date,disturbances
2024-01-20,0.335606
2024-01-21,0.75503
2024-01-22,0.572661
2024-01-23,0.621343
2024-01-24,0.850152
2024-01-25,0.472691
2024-01-26,0.237092
2024-01-27,0.246094
2024-01-28,0.393041
2024-01-29,0.67778
2024-01-30,0.472664
2024-01-31,0.882396
2024-02-01,0.412563
2024-02-02,0.468198
2024-02-03,0.686213
2024-02-04,0.243748
2024-02-05,0.532024
2024-02-06,0.602236
2024-02-07,0.494384
2024-02-08,0.0
2024-02-09,0.416661
2024-02-10,0.468394
2024-02-11,0.282606
2024-02-12,0.33488
2024-02-13,0.884555
2024-02-14,0.0
2024-02-15,0.59026
2024-02-16,0.0
2024-02-17,0.576335
2024-02-18,0.416935
2024-02-19,0.5769
2024-02-20,0.970894
2024-02-21,0.851415
2024-02-22,0.0
2024-02-23,0.45984
2024-02-24,0.0
2024-02-25,0.06078
2024-02-26,0.0
2024-02-27,0.737358
2024-02-28,0.969939
2024-02-29,0.308826
2024-03-01,0.172968
2024-03-02,0.0
2024-03-03,0.166168
2024-03-04,0.886573
2024-03-05,0.375923
2024-03-06,0.28202
2024-03-07,1.3449
2024-03-08,0.685641
2024-03-09,0.267085
2024-03-10,0.0
2024-03-11,0.098516
2024-03-12,0.109837
2024-03-13,0.277508
2024-03-14,0.161184
2024-03-15,0.588696
2024-03-16,0.511767
2024-03-17,0.199451
2024-03-18,0.643736
2024-03-19,0.069805
2024-03-20,0.57976
2024-03-21,0.393589
2024-03-22,0.657895
2024-03-23,0.613783
2024-03-24,0.247678
2024-03-25,0.145199
2024-03-26,0.578995
2024-03-27,0.858316
2024-03-28,1.290284
2024-03-29,0.411454
2024-03-30,0.0
2024-03-31,0.228817
2024-04-01,0.543437
2024-04-02,0.54759
2024-04-03,0.358045
2024-04-04,0.429093
2024-04-05,0.890548
2024-04-06,0.558212
2024-04-07,0.407459
2024-04-08,0.964277
