date,resting_hr_bpm
2024-01-20,68
2024-01-21,72
2024-01-22,75
2024-01-23,65
2024-01-24,69
2024-01-25,68
2024-01-26,67
2024-01-27,66
2024-01-28,68
2024-01-29,64
2024-01-30,71
2024-01-31,72
2024-02-01,72
2024-02-02,67
2024-02-03,69
2024-02-04,70
2024-02-05,67
2024-02-06,70
2024-02-07,69
2024-02-08,67
2024-02-09,68
2024-02-10,67
2024-02-11,71
2024-02-12,66
2024-02-13,66
2024-02-14,65
2024-02-15,71
2024-02-16,65
2024-02-17,62
2024-02-18,65
2024-02-19,65
2024-02-20,64
2024-02-21,69
2024-02-22,70
2024-02-23,62
2024-02-24,68
2024-02-25,67
2024-02-26,72
2024-02-27,67
2024-02-28,69
2024-02-29,75
2024-03-01,71
2024-03-02,64
2024-03-03,70
2024-03-04,71
2024-03-05,69
2024-03-06,69
2024-03-07,63
2024-03-08,68
2024-03-09,68
2024-03-10,71
2024-03-11,70
2024-03-12,70
2024-03-13,70
2024-03-14,68
2024-03-15,68
2024-03-16,68
2024-03-17,70
2024-03-18,66
2024-03-19,69
2024-03-20,62
2024-03-21,66
2024-03-22,70
2024-03-23,64
2024-03-24,69
2024-03-25,67
2024-03-26,66
2024-03-27,69
2024-03-28,73
2024-03-29,68
2024-03-30,69
2024-03-31,70
2024-04-01,72
2024-04-02,68
2024-04-03,68
2024-04-04,67
2024-04-05,68
2024-04-06,63
2024-04-07,72
2024-04-08,69
